char_pos,word_pos,file_line,origin,word_after,word_before,line,mikta,halacha,chapter,masechet_he,amud,daf
1,1,2,ליידן,"""מאימתי",,01,1,001,001,ברכות,א,ב
131,27,5,ליידן,כר',ודלא,04,1,001,001,ברכות,ב,ב
100,23,19,ליידן,ו1,יוסי,18,1,001,001,ברכות,ג,ב
246,46,43,ליידן,נראין,ושעה,42,1,001,001,ברכות,ד,ב
182,36,68,ליידן,ושללילה,שליום,01,4,001,001,ברכות,א,ג
16,4,93,ליידן,ר',"החמה""",01,2,002,001,ברכות,ב,ג
91,19,116,ליידן,קול,בת,08,2,003,001,ברכות,ג,ג
87,19,143,ליידן,ר',חלבו,26,1,004,001,ברכות,ד,ג
75,16,169,ליידן,יקרא,"""ולא",09,1,005,001,ברכות,א,ד
9,3,184,ליידן,לר',שאיל,07,1,001,002,ברכות,ב,ד
52,12,208,ליידן,וקורא,תפילין,01,2,002,002,ברכות,ג,ד
126,27,236,ליידן,רובא,חייא,28,2,002,002,ברכות,ד,ד
211,41,263,ליידן,בשביעית,אלא,09,2,003,002,ברכות,א,ה
1,1,291,ליידן,מתני',,00.1,1,005,002,ברכות,ב,ה
182,32,317,ליידן,"בגנים""","""לרעות",05,1,007,002,ברכות,ג,ה
135,29,339,ליידן,יחיד,עצמו,01,1,008,002,ברכות,ד,ה
199,43,356,ליידן,אמ',שפה,11,1,001,003,ברכות,א,ו
187,40,383,ליידן,יצחק,רב,38,1,001,003,ברכות,ב,ו
46,9,409,ליידן,מאיר,וכר',01,1,004,003,ברכות,ג,ו
77,18,434,ליידן,שמע,את,04,1,005,003,ברכות,ד,ו
28,7,459,ליידן,קרי,ואפי',01,1,006,003,ברכות,א,ז
12,3,475,ליידן,מיעקב,הערב,14,1,001,004,ברכות,ב,ז
331,64,498,ליידן,וכה,שגמלתו,20,2,001,004,ברכות,ג,ז
81,18,524,ליידן,רבן,את,45,2,001,004,ברכות,ד,ז
74,15,547,ליידן,שלתילים,מראשו,01,1,003,004,ברכות,א,ח
70,14,575,ליידן,ווא,בר,05,1,004,004,ברכות,ב,ח
188,32,600,ליידן,אליך,"""והתפללו",04,1,005,004,ברכות,ג,ח
1,1,624,ליידן,"""אין",,01,1,001,005,ברכות,ד,ח
96,18,643,ליידן,בהיותו,"""קראוהו",07,2,001,005,ברכות,א,ט
49,12,668,ליידן,מן,לו,03,1,002,005,ברכות,ב,ט
88,18,693,ליידן,דא',כמ',08,3,002,005,ברכות,ג,ט
73,15,718,ליידן,אבל,שוין,03,1,004,005,ברכות,ד,ט
67,13,733,ליידן,י,"עליך""",03,1,001,006,ברכות,א,י
35,8,758,ליידן,שחיקתא,מורתא,12,3,001,006,ברכות,ב,י
120,23,782,ליידן,וקפלוטין,ואחונייא,04,2,002,006,ברכות,ג,י
103,23,806,ליידן,ביתו1,בתוך,01,1,006,006,ברכות,ד,י
1,1,831,ליידן,"""שלשה",,01,1,001,007,ברכות,א,יא
33,7,848,ליידן,מה,קרויות,18,1,001,007,ברכות,ב,יא
129,27,875,ליידן,תופסין,אין,02,1,003,007,ברכות,ג,יא
13,4,902,ליידן,שלשה,אחא,04,2,005,007,ברכות,ד,יא
165,33,915,ליידן,על,יברך,09,1,001,008,ברכות,א,יב
93,18,939,ליידן,טמא,אומ''',04,1,003,008,ברכות,ב,יב
72,15,965,ליידן,אלהים,"""וירא",01,3,006,008,ברכות,ג,יב
1,1,987,ליידן,"""הרואה",,01,1,001,009,ברכות,ד,יב
31,7,1001,ליידן,אלהים,"""אל",15,1,001,009,ברכות,א,יג
201,39,1021,ליידן,ליה,דיו,35,1,001,009,ברכות,ב,יג
