char_pos,word_pos,file_line,origin,word_after,word_before,line,mikta,halacha,chapter,masechet_he,amud,daf,system_line
1,1,2,ליידן,"""מאימתי",,01,1,001,001,ברכות,א,ב,00001
131,27,5,ליידן,כר',ודלא,04,1,001,001,ברכות,ב,ב,00004
100,23,19,ליידן,ו1,יוסי,18,1,001,001,ברכות,ג,ב,00018
246,46,43,ליידן,נראין,ושעה,42,1,001,001,ברכות,ד,ב,00042
182,36,68,ליידן,ושללילה,שליום,01,4,001,001,ברכות,א,ג,00067
16,4,93,ליידן,ר',"החמה""",01,2,002,001,ברכות,ב,ג,00092
91,19,116,ליידן,קול,בת,08,2,003,001,ברכות,ג,ג,00115
87,19,143,ליידן,ר',חלבו,26,1,004,001,ברכות,ד,ג,00142
75,16,169,ליידן,יקרא,"""ולא",09,1,005,001,ברכות,א,ד,00168
9,3,184,ליידן,לר',שאיל,07,1,001,002,ברכות,ב,ד,00183
52,12,208,ליידן,וקורא,תפילין,01,2,002,002,ברכות,ג,ד,00207
126,27,236,ליידן,רובא,חייא,28,2,002,002,ברכות,ד,ד,00235
211,41,263,ליידן,בשביעית,אלא,09,2,003,002,ברכות,א,ה,00262
1,1,291,ליידן,מתני',,00.1,1,005,002,ברכות,ב,ה,00290
182,32,317,ליידן,"בגנים""","""לרעות",05,1,007,002,ברכות,ג,ה,00316
135,29,339,ליידן,יחיד,עצמו,01,1,008,002,ברכות,ד,ה,00338
199,43,356,ליידן,אמ',שפה,11,1,001,003,ברכות,א,ו,00355
187,40,383,ליידן,יצחק,רב,38,1,001,003,ברכות,ב,ו,00382
46,9,409,ליידן,מאיר,וכר',01,1,004,003,ברכות,ג,ו,00408
77,18,434,ליידן,שמע,את,04,1,005,003,ברכות,ד,ו,00433
28,7,459,ליידן,קרי,ואפי',01,1,006,003,ברכות,א,ז,00458
12,3,475,ליידן,מיעקב,הערב,14,1,001,004,ברכות,ב,ז,00474
331,64,498,ליידן,וכה,שגמלתו,20,2,001,004,ברכות,ג,ז,00497
81,18,524,ליידן,רבן,את,45,2,001,004,ברכות,ד,ז,00523
74,15,547,ליידן,שלתילים,מראשו,01,1,003,004,ברכות,א,ח,00546
70,14,575,ליידן,ווא,בר,05,1,004,004,ברכות,ב,ח,00574
188,32,600,ליידן,אליך,"""והתפללו",04,1,005,004,ברכות,ג,ח,00599
1,1,624,ליידן,"""אין",,01,1,001,005,ברכות,ד,ח,00623
96,18,643,ליידן,בהיותו,"""קראוהו",07,2,001,005,ברכות,א,ט,00642
49,12,668,ליידן,מן,לו,03,1,002,005,ברכות,ב,ט,00667
88,18,693,ליידן,דא',כמ',08,3,002,005,ברכות,ג,ט,00692
73,15,718,ליידן,אבל,שוין,03,1,004,005,ברכות,ד,ט,00717
67,13,733,ליידן,י,"עליך""",03,1,001,006,ברכות,א,י,00732
35,8,758,ליידן,שחיקתא,מורתא,12,3,001,006,ברכות,ב,י,00757
120,23,782,ליידן,וקפלוטין,ואחונייא,04,2,002,006,ברכות,ג,י,00781
103,23,806,ליידן,ביתו1,בתוך,01,1,006,006,ברכות,ד,י,00805
1,1,831,ליידן,"""שלשה",,01,1,001,007,ברכות,א,יא,00830
33,7,848,ליידן,מה,קרויות,18,1,001,007,ברכות,ב,יא,00847
129,27,875,ליידן,תופסין,אין,02,1,003,007,ברכות,ג,יא,00874
13,4,902,ליידן,שלשה,אחא,04,2,005,007,ברכות,ד,יא,00901
165,33,915,ליידן,על,יברך,09,1,001,008,ברכות,א,יב,00914
93,18,939,ליידן,טמא,אומ''',04,1,003,008,ברכות,ב,יב,00938
72,15,965,ליידן,אלהים,"""וירא",01,3,006,008,ברכות,ג,יב,00964
1,1,987,ליידן,"""הרואה",,01,1,001,009,ברכות,ד,יב,00986
31,7,1001,ליידן,אלהים,"""אל",15,1,001,009,ברכות,א,יג,01000
201,39,1021,ליידן,ליה,דיו,35,1,001,009,ברכות,ב,יג,01020
67,15,1045,ליידן,בשם,זעיר',12,2,001,009,ברכות,ג,יג,01044
87,17,1069,ליידן,תן,לו,02,3,002,009,ברכות,ד,יג,01068
297,59,1096,ליידן,רביעה,כדי,02,5,002,009,ברכות,א,יד,01095
55,14,1126,ליידן,מנביאות,רחל,03,2,003,009,ברכות,ב,יד,01125
1,1,1150,ליידן,אמ',,03,2,005,009,ברכות,ג,יד,01149
32,7,1159,ליידן,נתן,ר',01,8,005,009,ברכות,ד,יד,01158
1,1,1173,ליידן,"""אילו",,01,1,001,001,פאה,א,טו,00001
53,12,1184,ליידן,המת,מן,02.1,3,001,001,פאה,ב,טו,00011
31,6,1207,ליידן,כל,כנגד,13,4,001,001,פאה,ג,טו,00035
34,8,1230,ליידן,ר',תנא,20,6,001,001,פאה,ד,טו,00058
136,30,1250,ליידן,מזלזלין,או',07,9,001,001,פאה,א,טז,00078
181,35,1270,ליידן,אני,להם,28,9,001,001,פאה,ב,טז,00098
70,15,1290,ליידן,קידשה,אמרה,01,2,003,001,פאה,ג,טז,00118
288,60,1314,ליידן,או',הנשיא,06,4,006,001,פאה,ד,טז,00142
46,11,1327,ליידן,הביאה,שלא,04,3,001,002,פאה,א,יז,00155
38,9,1349,ליידן,הקמה,ומן,01,2,007,002,פאה,ב,יז,00177
123,26,1360,ליידן,אדם,בני,04,1,001,003,פאה,ג,יז,00188
254,54,1385,ליידן,מערוגה,ששה2,01,1,006,003,פאה,ד,יז,00213
77,16,1411,ליידן,כתובה,מקולי,01,2,007,003,פאה,א,יח,00239
32,8,1424,ליידן,נן,מה,03,1,003,004,פאה,ב,יח,00252
14,3,1451,ליידן,על,פליגא,07,1,009,004,פאה,ג,יח,00279
1,1,1467,ליידן,הכא,,01,1,001,005,פאה,ד,יח,00295
110,22,1489,ליידן,בשיטת,הכין,07,2,002,005,פאה,א,יט,00317
1,1,1509,ליידן,ר',,01,1,001,006,פאה,ב,יט,00337
64,13,1526,ליידן,הן,הברית,04,1,002,006,פאה,ג,יט,00354
156,31,1552,ליידן,שסביבותיו,עומר,01,1,008,006,פאה,ד,יט,00380
1,1,1565,ליידן,אמ',,01,1,001,007,פאה,א,כ,00393
4,2,1594,ליידן,אמ',ר',10,2,004,007,פאה,ב,כ,00422
243,46,1617,ליידן,מעשר,תרומת,11,1,006,007,פאה,ג,כ,00445
1,1,1636,ליידן,אמ',,01,1,001,008,פאה,ד,כ,00464
140,28,1656,ליידן,את,מסריחין,02,2,005,008,פאה,א,כא,00484
139,27,1678,ליידן,שני,לו,01,3,008,008,פאה,ב,כא,00506
1,1,1704,ליידן,אמ',,01,1,001,001,דמאי,ג,כא,00001
31,7,1719,ליידן,אנן,שאור,03,3,001,001,דמאי,ד,כא,00016
15,4,1745,ליידן,לא,ר',06,2,003,001,דמאי,א,כב,00042
125,26,1767,ליידן,ר',במחלוקת,01,6,003,001,דמאי,ב,כב,00064
70,16,1781,ליידן,אמ',יוחנן,03,1,001,002,דמאי,ג,כב,00078
25,7,1804,ליידן,זכריה,בן,11,2,001,002,דמאי,ד,כב,00101
63,14,1826,ליידן,שישב,חכם,02,2,003,002,דמאי,א,כג,00123
1,1,1844,ליידן,אמ',,01,1,001,003,דמאי,ב,כג,00141
232,51,1858,ליידן,לן,שמע,03,2,002,003,דמאי,ג,כג,00155
99,20,1883,ליידן,שלגוי,טיבלו,09,4,004,003,דמאי,ד,כג,00180
198,41,1892,ליידן,לעשר,נראה,03,2,001,004,דמאי,א,כד,00189
137,28,1917,ליידן,או',לעזר,02,1,005,004,דמאי,ב,כד,00214
1,1,1927,ליידן,כלום,,02,1,001,005,דמאי,ג,כד,00224
29,7,1948,ליידן,ומתיר,מעשר,04,1,003,005,דמאי,ד,כד,00245
109,21,1967,ליידן,לשבט,ונותנן,09,1,009,005,דמאי,א,כה,00264
100,18,1975,ליידן,בקבלה,שדהו,04,1,001,006,דמאי,ב,כה,00272
106,21,2000,ליידן,בבית,המסייעין,11,1,003,006,דמאי,ג,כה,00297
90,20,2022,ליידן,חומרין,קטן,03,1,006,006,דמאי,ד,כה,00319
5,2,2047,ליידן,ר',אמ',04,2,012,006,דמאי,א,כו,00344
102,21,2054,ליידן,לישנא,אזל,06,1,001,007,דמאי,ב,כו,00351
63,13,2078,ליידן,כדי,לאחר,04,1,006,007,דמאי,ג,כו,00375
1,1,2098,ליידן,כת',,01,1,001,001,כלאים,ד,כו,00001
90,20,2106,ליידן,דאמ',מה,01,3,001,001,כלאים,א,כז,00009
78,19,2132,ליידן,בשאינו,מין,02,1,007,001,כלאים,ב,כז,00035
1,1,2152,ליידן,אנן,,01,1,001,002,כלאים,ג,כז,00055
160,35,2159,ליידן,מרבה,את,01,2,001,002,כלאים,ד,כז,00062
62,13,2186,ליידן,כן,בחורבה,02.1,1,006,002,כלאים,א,כח,00088
1,1,2208,ליידן,"""תבואה",,01,2,010,002,כלאים,ב,כח,00111
1,1,2219,ליידן,"""זרעיה""",,01,1,001,003,כלאים,ג,כח,00122
74,15,2238,ליידן,סומכין,פסול,04,2,002,003,כלאים,ד,כח,00141
122,23,2263,ליידן,מן,בשורה,01,2,007,003,כלאים,א,כט,00166
71,15,2270,ליידן,והתנינן,עשרה,05,1,001,004,כלאים,ב,כט,00173
1,1,2294,ליידן,הל',,01,1,005,004,כלאים,ג,כט,00197
1,1,2311,ליידן,אמ',,01,1,001,005,כלאים,ד,כט,00214
99,19,2329,ליידן,ר',מסתברא,01,2,003,005,כלאים,א,ל,00232
1,1,2352,ליידן,וקשיא,,01,1,001,006,כלאים,ב,ל,00255
16,5,2367,ליידן,אחרייתא,הדא,04,1,002,006,כלאים,ג,ל,00270
1,1,2393,ליידן,"""לא",,01,1,001,007,כלאים,ד,ל,00296
30,7,2407,ליידן,בין,שלו,03,1,004,007,כלאים,א,לא,00310
1,1,2426,ליידן,"""כלאי",,01,1,001,008,כלאים,ב,לא,00329
66,14,2446,ליידן,חייב,אינו,19.1,2,001,008,כלאים,ג,לא,00348
33,6,2472,ליידן,כת',"ולמשוך""",01,2,006,008,כלאים,ד,לא,00375
1,1,2482,ליידן,מה,,03,3,001,009,כלאים,א,לב,00385
55,11,2514,ליידן,בארץ,נקובה,05,1,004,009,כלאים,ב,לב,00417
179,38,2537,ליידן,ונכפלו,שנה,26,1,004,009,כלאים,ג,לב,00440
277,51,2553,ליידן,"""וכפר",דכת',42,1,004,009,כלאים,ד,לב,00456
1,1,2574,ליידן,"""עד",,01,1,001,001,שביעית,א,לג,00001
156,32,2584,ליידן,את,מתיש,01,2,001,001,שביעית,ב,לג,00011
18,5,2611,ליידן,שמואל,על,01,2,006,001,שביעית,ג,לג,00038
32,8,2620,ליידן,ואחד,אחד,01,3,001,002,שביעית,ד,לג,00047
50,12,2644,ליידן,לפני,יום,07,2,006,002,שביעית,א,לד,00071
79,16,2671,ליידן,נאכלין,שאין,01,1,010,002,שביעית,ב,לד,00098
1,1,2679,ליידן,"""מאימתי",,01,1,001,003,שביעית,ג,לד,00106
84,16,2705,ליידן,בר,חייה,01,1,006,003,שביעית,ד,לד,00132
1,1,2724,ליידן,"""בראשונה",,01,1,001,004,שביעית,א,לה,00151
215,44,2744,ליידן,מודע,מאן,13,1,002,004,שביעית,ב,לה,00171
73,16,2775,ליידן,אינן,הפגין,04,2,007,004,שביעית,ג,לה,00202
1,1,2794,ליידן,"""בנות",,01,1,001,005,שביעית,ד,לה,00221
52,12,2811,ליידן,נותן,שנים,06,1,003,005,שביעית,א,לו,00238
1,1,2834,ליידן,כת',,01,1,001,006,שביעית,ב,לו,00261
38,8,2847,ליידן,אמ',נקייה,15,1,001,006,שביעית,ג,לו,00274
65,14,2868,ליידן,אני,ליה,35,1,001,006,שביעית,ד,לו,00295
156,30,2891,ליידן,לון,אמ',07,2,003,006,שביעית,א,לז,00318
1,1,2903,ליידן,צבעין,,01,1,001,007,שביעית,ב,לז,00330
47,11,2926,ליידן,בשמן,הפסח,07,1,002,007,שביעית,ג,לז,00353
1,1,2948,ליידן,"""כלל",,01,1,001,008,שביעית,ד,לז,00375
171,36,2957,ליידן,נן,כי,03,2,001,008,שביעית,א,לח,00384
212,44,2983,ליידן,לבייר,הוא,01,1,005,008,שביעית,ב,לח,00410
71,14,3008,ליידן,אסיר,לית,02,2,011,008,שביעית,ג,לח,00435
51,12,3018,ליידן,מילייא,תרתין,04,2,001,009,שביעית,ד,לח,00445
115,26,3042,ליידן,מה,הבית,01,1,004,009,שביעית,א,לט,00469
1,1,3067,ליידן,"""השביעית",,01,1,001,010,שביעית,ב,לט,00494
225,46,3078,ליידן,אמ',עקיבה,02,1,002,010,שביעית,ג,לט,00505
49,10,3101,ליידן,היך,פרוזבול,03,1,004,010,שביעית,ד,לט,00528
1,1,3127,ליידן,"""חמשה",,01,1,001,001,תרומות,א,מ,00001
119,23,3135,ליידן,קידושין,קידושיהן,02,2,001,001,תרומות,ב,מ,00009
25,6,3168,ליידן,ומיניה,מיניה,03,6,001,001,תרומות,ג,מ,00042
19,4,3201,ליידן,דר',פליגא,16,1,003,001,תרומות,ד,מ,00075
37,8,3232,ליידן,מקולי,דברים,08,1,008,001,תרומות,א,מא,00106
1,1,3246,ליידן,"""אין",,01,1,001,002,תרומות,ב,מא,00120
1,1,3275,ליידן,הל',,01,1,002,002,תרומות,ג,מא,00149
91,21,3309,ליידן,ואם,זה,02,1,004,002,תרומות,ד,מא,00183
1,1,3331,ליידן,"""התורם",,01,1,001,003,תרומות,א,מב,00205
83,15,3357,ליידן,שהילכו,מכיון,08,2,004,003,תרומות,ב,מב,00231
1,1,3388,ליידן,"""המפריש",,01,1,001,004,תרומות,ג,מב,00262
122,23,3399,ליידן,הפריש,ואחד,12,1,001,004,תרומות,ד,מב,00273
16,4,3434,ליידן,מוסיף,או',02,1,007,004,תרומות,א,מג,00308
67,12,3462,ליידן,שתי,נמצאו,06,1,012,004,תרומות,ב,מג,00336
81,16,3472,ליידן,כל,שאר,02.1,1,001,005,תרומות,ג,מג,00345
74,17,3505,ליידן,לון,מסלקין,05,1,004,005,תרומות,ד,מג,00379
1,1,3529,ליידן,"""האוכל",,01,1,001,006,תרומות,א,מד,00403
