tractate_id,tractate_heb,chapter,mishna,daf,amud
avoda_zara,עבודה זרה,001,001,לט,א
avoda_zara,עבודה זרה,001,002,לט,ג
avoda_zara,עבודה זרה,001,003,לט,ג
avoda_zara,עבודה זרה,001,004,לט,ד
avoda_zara,עבודה זרה,001,005,לט,ד
avoda_zara,עבודה זרה,001,006,מ,א
avoda_zara,עבודה זרה,001,007,מ,א
avoda_zara,עבודה זרה,001,008,מ,ב
avoda_zara,עבודה זרה,001,009,מ,ב
avoda_zara,עבודה זרה,002,001,מ,ג
avoda_zara,עבודה זרה,002,002,מ,ד
avoda_zara,עבודה זרה,002,003,מא,ב
avoda_zara,עבודה זרה,002,004,מא,ג
avoda_zara,עבודה זרה,002,005,מא,ד
avoda_zara,עבודה זרה,002,006,מב,א
avoda_zara,עבודה זרה,002,007,מב,א
avoda_zara,עבודה זרה,003,001,מב,ב
avoda_zara,עבודה זרה,003,002,מב,ד
avoda_zara,עבודה זרה,003,003,מב,ד
avoda_zara,עבודה זרה,003,004,מב,ד
avoda_zara,עבודה זרה,003,005,מג,א
avoda_zara,עבודה זרה,003,006,מג,ב
avoda_zara,עבודה זרה,003,007,מג,ב
avoda_zara,עבודה זרה,003,008,מג,ג
avoda_zara,עבודה זרה,003,009,מג,ג
avoda_zara,עבודה זרה,003,010,מג,ג
avoda_zara,עבודה זרה,004,001,מג,ד
avoda_zara,עבודה זרה,004,002,מג,ד
avoda_zara,עבודה זרה,004,003,מג,ד
avoda_zara,עבודה זרה,004,004,מד,א
avoda_zara,עבודה זרה,004,005,מד,א
avoda_zara,עבודה זרה,004,006,מד,א
avoda_zara,עבודה זרה,004,007,מד,א
avoda_zara,עבודה זרה,004,008,מד,ב
avoda_zara,עבודה זרה,004,009,מד,ב
avoda_zara,עבודה זרה,004,010,מד,ב
avoda_zara,עבודה זרה,004,011,מד,ב
avoda_zara,עבודה זרה,005,001,מד,ג
avoda_zara,עבודה זרה,005,002,מד,ג
avoda_zara,עבודה זרה,005,003,מד,ג
avoda_zara,עבודה זרה,005,004,מד,ג
avoda_zara,עבודה זרה,005,005,מה,א
avoda_zara,עבודה זרה,005,006,מה,א
avoda_zara,עבודה זרה,005,007,מה,א
avoda_zara,עבודה זרה,005,008,מה,ב
avoda_zara,עבודה זרה,005,009,מה,ב
avoda_zara,עבודה זרה,005,010,מה,ב
avoda_zara,עבודה זרה,005,011,מה,ב
avoda_zara,עבודה זרה,005,012,מה,ב
bava_batra,בבא בתרא,001,001,יב,ד
bava_batra,בבא בתרא,001,002,יב,ד
bava_batra,בבא בתרא,001,003,יב,ד
bava_batra,בבא בתרא,001,004,יב,ד
bava_batra,בבא בתרא,001,005,יב,ד
bava_batra,בבא בתרא,001,006,יג,א
bava_batra,בבא בתרא,002,001,יג,ב
bava_batra,בבא בתרא,002,003,יג,ב
bava_batra,בבא בתרא,002,004,יג,ג
bava_batra,בבא בתרא,002,005,יג,ג
bava_batra,בבא בתרא,002,006,יג,ג
bava_batra,בבא בתרא,002,007,יג,ג
bava_batra,בבא בתרא,002,008,יג,ג
bava_batra,בבא בתרא,002,009,יג,ג
bava_batra,בבא בתרא,002,010,יג,ג
bava_batra,בבא בתרא,002,011,יג,ג
bava_batra,בבא בתרא,002,013,יג,ג
bava_batra,בבא בתרא,002,014,יג,ג
bava_batra,בבא בתרא,003,001,יג,ד
bava_batra,בבא בתרא,003,002,יג,ד
bava_batra,בבא בתרא,003,003,יג,ד
bava_batra,בבא בתרא,003,004,יג,ד
bava_batra,בבא בתרא,003,005,יד,ב
bava_batra,בבא בתרא,003,006,יד,ב
bava_batra,בבא בתרא,003,007,יד,ב
bava_batra,בבא בתרא,003,008,יד,ב
bava_batra,בבא בתרא,004,001,יד,ג
bava_batra,בבא בתרא,004,002,יד,ג
bava_batra,בבא בתרא,004,003,יד,ג
bava_batra,בבא בתרא,004,004,יד,ג
bava_batra,בבא בתרא,004,005,יד,ג
bava_batra,בבא בתרא,004,006,יד,ג
bava_batra,בבא בתרא,004,007,יד,ג
bava_batra,בבא בתרא,004,008,יד,ג
bava_batra,בבא בתרא,004,009,יד,ד
bava_batra,בבא בתרא,005,001,טו,א
bava_batra,בבא בתרא,005,003,טו,א
bava_batra,בבא בתרא,005,004,טו,א
bava_batra,בבא בתרא,005,005,טו,א
bava_batra,בבא בתרא,005,006,טו,א
bava_batra,בבא בתרא,005,009,טו,ב
bava_batra,בבא בתרא,005,011,טו,ב
bava_batra,בבא בתרא,006,001,טו,ב
bava_batra,בבא בתרא,006,002,טו,ב
bava_batra,בבא בתרא,006,003,טו,ג
bava_batra,בבא בתרא,006,004,טו,ג
bava_batra,בבא בתרא,006,005,טו,ג
bava_batra,בבא בתרא,006,008,טו,ג
bava_batra,בבא בתרא,007,001,טו,ד
bava_batra,בבא בתרא,007,002,טו,ד
bava_batra,בבא בתרא,007,003,טו,ד
bava_batra,בבא בתרא,007,004,טו,ד
bava_batra,בבא בתרא,008,001,טז,א
bava_batra,בבא בתרא,008,002,טז,א
bava_batra,בבא בתרא,008,003,טז,א
bava_batra,בבא בתרא,008,004,טז,ב
bava_batra,בבא בתרא,008,005,טז,ב
bava_batra,בבא בתרא,008,006,טז,ב
bava_batra,בבא בתרא,008,007,טז,ג
bava_batra,בבא בתרא,009,001,טז,ד
bava_batra,בבא בתרא,009,002,טז,ד
bava_batra,בבא בתרא,009,003,יז,א
bava_batra,בבא בתרא,009,004,יז,א
bava_batra,בבא בתרא,009,005,יז,א
bava_batra,בבא בתרא,009,006,יז,א
bava_batra,בבא בתרא,009,007,יז,ב
bava_batra,בבא בתרא,009,010,יז,ב
bava_batra,בבא בתרא,010,001,יז,ג
bava_batra,בבא בתרא,010,002,יז,ג
bava_batra,בבא בתרא,010,003,יז,ג
bava_batra,בבא בתרא,010,005,יז,ג
bava_batra,בבא בתרא,010,006,יז,ד
bava_batra,בבא בתרא,010,007,יז,ד
bava_batra,בבא בתרא,010,008,יז,ד
bava_metsia,בבא מציעא,001,001,ז,ד
bava_metsia,בבא מציעא,001,002,ז,ד
bava_metsia,בבא מציעא,001,003,ז,ד
bava_metsia,בבא מציעא,001,004,ח,א
bava_metsia,בבא מציעא,001,005,ח,א
bava_metsia,בבא מציעא,001,006,ח,א
bava_metsia,בבא מציעא,001,007,ח,א
bava_metsia,בבא מציעא,001,008,ח,א
bava_metsia,בבא מציעא,002,001,ח,ב
bava_metsia,בבא מציעא,002,002,ח,ג
bava_metsia,בבא מציעא,002,003,ח,ג
bava_metsia,בבא מציעא,002,004,ח,ג
bava_metsia,בבא מציעא,002,006,ח,ג
bava_metsia,בבא מציעא,002,007,ח,ד
bava_metsia,בבא מציעא,002,008,ח,ד
bava_metsia,בבא מציעא,002,009,ח,ד
bava_metsia,בבא מציעא,002,010,ח,ד
bava_metsia,בבא מציעא,002,011,ח,ד
bava_metsia,בבא מציעא,003,001,ט,א
bava_metsia,בבא מציעא,003,002,ט,א
bava_metsia,בבא מציעא,003,003,ט,א
bava_metsia,בבא מציעא,003,006,ט,ב
bava_metsia,בבא מציעא,003,007,ט,ב
bava_metsia,בבא מציעא,003,008,ט,ב
bava_metsia,בבא מציעא,003,009,ט,ב
bava_metsia,בבא מציעא,003,010,ט,ב
bava_metsia,בבא מציעא,003,011,ט,ב
bava_metsia,בבא מציעא,003,012,ט,ב
bava_metsia,בבא מציעא,004,001,ט,ג
bava_metsia,בבא מציעא,004,002,ט,ד
bava_metsia,בבא מציעא,004,003,ט,ד
bava_metsia,בבא מציעא,004,005,ט,ד
bava_metsia,בבא מציעא,004,008,ט,ד
bava_metsia,בבא מציעא,004,009,ט,ד
bava_metsia,בבא מציעא,004,012,ט,ד
bava_metsia,בבא מציעא,005,001,י,א
bava_metsia,בבא מציעא,005,002,י,ב
bava_metsia,בבא מציעא,005,004,י,ב
bava_metsia,בבא מציעא,005,005,י,ג
bava_metsia,בבא מציעא,005,006,י,ג
bava_metsia,בבא מציעא,005,007,י,ג
bava_metsia,בבא מציעא,005,009,י,ד
bava_metsia,בבא מציעא,005,010,י,ד
bava_metsia,בבא מציעא,005,011,י,ד
bava_metsia,בבא מציעא,006,001,יא,א
bava_metsia,בבא מציעא,006,002,יא,א
bava_metsia,בבא מציעא,006,003,יא,א
bava_metsia,בבא מציעא,006,005,יא,א
bava_metsia,בבא מציעא,006,006,יא,א
bava_metsia,בבא מציעא,006,007,יא,א
bava_metsia,בבא מציעא,006,008,יא,א
bava_metsia,בבא מציעא,007,001,יא,ב
bava_metsia,בבא מציעא,007,002,יא,ב
bava_metsia,בבא מציעא,007,003,יא,ב
bava_metsia,בבא מציעא,007,004,יא,ב
bava_metsia,בבא מציעא,007,005,יא,ב
bava_metsia,בבא מציעא,007,006,יא,ב
bava_metsia,בבא מציעא,007,007,יא,ג
bava_metsia,בבא מציעא,007,008,יא,ג
bava_metsia,בבא מציעא,007,011,יא,ג
bava_metsia,בבא מציעא,008,001,יא,ד
bava_metsia,בבא מציעא,008,002,יא,ד
bava_metsia,בבא מציעא,008,003,יא,ד
bava_metsia,בבא מציעא,008,004,יא,ד
bava_metsia,בבא מציעא,008,005,יא,ד
bava_metsia,בבא מציעא,008,006,יא,ד
bava_metsia,בבא מציעא,008,007,יא,ד
bava_metsia,בבא מציעא,008,008,יא,ד
bava_metsia,בבא מציעא,008,009,יא,ד
bava_metsia,בבא מציעא,009,001,יב,א
bava_metsia,בבא מציעא,009,002,יב,א
bava_metsia,בבא מציעא,009,003,יב,א
bava_metsia,בבא מציעא,009,004,יב,א
