name,year
אבודרהם,1350
"אגרות הרמב""ן",1250
אגרת החלום,1250
"אור זרוע ח""א",1215
"אור זרוע ח""ב",1215
"אור זרוע ח""ג",1215
בית הבחירה,1375
בעלי הנפש,1150
"הגהות אשר""י",1325
"הגהות הרמ""ך מלוניל",1200
הגהות מיימוניות,1250
הגהות מיימוניות דפוס קושטא,777
המנהיג,1200
העיטור,1150
"השגות הראב""ד",1150
"השגות הרמב""ן על ספר המצוות לרמב""ם",1250
"השגות על הרמב""ם",1150
זכרון יהודה ,1150
חזקוני על התורה,1275
"חי' הריטב""א - שבת",1300
"חי' הרשב""א - גיטין",1275
"חי' הרשב""א - יבמות",1275
"חי' הרשב""א - כתובות",1275
"חי' הרשב""א - נידה",1275
"חי' הרשב""א - קידושין",1275
"חי' הרשב""א - שבת",1275
"חי' ר' קרשקש גיטין ח""ב",1300
"חי' ר' קרשקש ח""א",1300
"חידושי הר""ן [המיוחסים לריטב""א] - שבת",1350
"חידושי הר""ן בבא בתרא",1350
"חידושי הריטב""א-גיטין",1300
"חידושי הריטב""א-יבמות",1300
"חידושי הריטב""א-כתובות",1300
"חידושי הריטב""א-מו""ק",1300
"חידושי הריטב""א-נידה",1300
"חידושי הריטב""א-קידושין",1300
"חידושי הריטב""א - בבא בתרא",1300
"חידושי הריטב""א - יבמות ח""ב",1300
"חידושי הרמב""ן",1250
"חידושי הרמב""ן - בבא בתרא",1250
"חידושי הרמב""ן - יבמות",1250
"חידושי הרמב""ן - כתובות",1250
"חידושי הרמב""ן - שבת",1250
"חידושי הרשב""א - בבא בתרא",1275
"חידושי הרשב""ץ - ראש השנה",1400
חידושי ר' קרשקש - כתובות,1300
"חידושי ר""י אלמנדרי",1250
חמשה ספרים,1025
"טור אבה""ע",1300
יחוסי תנאים ואמוראים,1250
יכין ובועז ח''א,1425
ילקוט המכירי,1350
ים של שלמה - גיטין,1550
ים של שלמה - יבמות,1550
ים של שלמה - כתובות,1550
ים של שלמה - קידושין,1550
כללי המילה לר' יעקב הגוזר,1250
כסף משנה,1500
כפתור ופרח,1325
כתוב שם,1150
כתר תורה,1400
לקט יושר,1475
מאה שערים,1150
מגדל עוז - משפטים,1300
מגדל עוז - נזיקין,1300
מגדל עוז - נשים,1300
מגדל עוז - קדושה,1300
"מגיד משנה על הרמב""ם",1400
"מגן אבות לרשב""ץ",1400
"מהר""י קורקוס",1400
מחזור ויטרי,1150
מלחמות ה' - בבא קמא,1250
מלחמות ה' - יבמות,1250
נימוקי יוסף - יבמות,1450
