#,tractate,fromLine,fromWordIndex,fromWord,toLine,toWordIndex,toWord,composition,compositionLocation,excerpt,comments,year,כרטיס בכרטסת,כרטיס בסריקה
,yevamot,9,20,ודרך,9,22,בעל.,"חידושי הר""ן  - שבת","קיח ע""ב ד""ה אלא אימא",פרשינן ליה בגוונא אחריתי דיבמתו היתה ולפיכך לא היה בא עליה אלא להוליד בנים בלבד ואמרינן נמי דדרך סדין בעל שלא ליהנות ממנה:,,#N/A,,
,yevamot,0,*,,,*,0,יחוסי תנאים ואמוראים,רבי יוסי סתם הוא רבי יוסי בן חלפתא,"ואלה ראיותי סתמי המשניות, ורב ושמואל ורבי יוחנן ותלמוד ירושלמי. ופר""ח בכתובות וביבמות פרק החולץ כוונה על מצות ייבום קודם לחליצה וקאמר אפילו כשקודמות כדרבי יוסי בתלמוד ירושלמי, ואפרשנו בסמוך אין כופין",,1250,,
,yevamot,8,1,אתיא,,*,0,יחוסי תנאים ואמוראים,רבי יוסי סתם הוא רבי יוסי בן חלפתא,תלמוד ירושלמי. בשמעתא קמייתא דיבמות מוקי רב הונא כאבא שאול. ואתיא כרבי יוסי בן חלפתא דרבי יוסי בן חלפתא ייבם אשת אחיו וכו'. הרי מעשה רב,,1250,,
,yevamot,6,1,ר',,*,0,יחוסי תנאים ואמוראים,רבי יוסי סתם הוא רבי יוסי בן חלפתא,"ומסיק הירושלמי ר' הונא פתר מתניתא מצות תאכל מצוה. לפי שהיתה בכלל היתר עד שלא הקדישה רצה לאכול חמץ אוכלה מצה אוכלה. הקדישה נאסרה. קרב קומצה חזרה והותרה יכול תחזור להיתרה הראשון רצה לאוכלה חמץ אוכלה מצות אוכלה ת""ל מצות מצוה. כיוצא בו יבמה יבא עליה מצוה. לפי שהיתה עליו בכלל היתר עד שלא ניסת לאחיו, רצה לכנוס לשם שאר כונס לשם ממון כונס. ניסת לאחיו נאסרה. מת אחיו בלא בנים חזרה והותרה. רצה תחזור להיתירה הראשון רצה לכנוס לשם שאר כונס לשם ממון כונס ת""ל יבמה יבא עליה למצוה. אתיא דרב הונא כאבא שאול דתני אבא שאול אומר הכונס את יבמתו לשם נוי לשם דברים אחרים הרי זה בעילת זנות וקרוב הולד להיות ממזר. מה אבא שאול כרבי עקיבא דרבי [עקיבא] אמר שממזר ביבמה. מה דאמר רבי עקיבא ביבמה שזינתה. מה דאמר אבא שאול ביבמתו. פירוש כיון שכונס לשם נוי או לשם דברים אחרים שלא לשם קיום מצוה הויא לה כאשת אח שלא במקום מצוה. ואתיא כרבי יוסי בן חלפתא דרבי יוסי בן חלפתא ייבם את אשת אחיו חמש חרישות חרש וחמש נטיעות נטע. ודרך סדין בעל. אלו הן רבי ישמעאל ב""ר יוסי וכו': ובסדר חלפתא ב""ר יוסי מניתוסי23) וכי היכי דפליגי רבי יצחק בר אבדימי דמוקי לה בהחולץ24) להא כאבא שאול וכרב הונא ורבה כרבנן, הכי נמי פליג רבי יוסי אמורא בירושלמי על רב הונא דמוקי לה כרבה אליביה דרבנן",,1250,,
24233,yevamot,9,6,[דר',9,22,בעל.,"שו""ת מהר""ם מרוטנבורג","סי' תתסו דף קטז ע""א","... ואפי' חסידים הראשונים דור התנאים כשהיו מיבמין היו בועלין דרך סדין כדמשמע בירושלמי (פ""ק דיבמות ה""א)2 ר' יוסי בר' חלפתא הי' בועל יבמתו דרך סדין ונטע ה' ארזים בישראל ...",,1275,97,190360_444
26754,yevamot,9,6,[דר',9,22,בעל.,ספר מצוות גדול,"עשין נ""ב   קל""ז ג",ובירו' גרסינן רבי יוסי בן חלפתא ה' חרישות חרש וחמש ארזים נטע ודרך סדין בעל       פירוש יבמתו היתה ולא היה רוצה ליהנות ממנה רק מעט ונתן סדין בינו לבינה להפסיק רק נקב עשה בסדין דרך מקום ביאה והוליד ממנה חמש אנשים גדולים:,,1225,164,230177_177
2684,yevamot,9,6,[דר',9,22,בעל.,ספר התרומה,"ה' חליצה סי' קל""ג",ובירושלמי פרק קמא דיבמו' רבי יוסי בן חלפתא חרש חמש חרישות וחמש נטיעות ארזים נטע בישראל ודרך סדין בעל  פיר' יבמתו היתה ולא היה רוצה ליהנות ממנה רק מעט ונתן סדין בינו לבינה רק נקב עשה בסדין דרך מקום ביאה והוליד ממנה ה' בנים,"(עיין תוספ' שבת קיח: ד""ה אימא)",1200,,
,yevamot,8,46,מה,9,22,בעל.,"תוספות הרא""ש","שבת קיח ע”ב ד""ה אימא בעלתי","אימא בעלתי ושניתי, בירושלמי מתרץ בענין אחר דיבמה הואי ודרך סדין בעל",,1300,,
,yevamot,8,*,,8,*,0,תוספות - שבת,"קיח ע""ב ד""ה אימא",אימא ה' בעילות בעלתי ושניתי - ובירושלמי משני דיבמות היו ולא רצה לקיים בהן מצות עונה אלא רק כדי לקיים מצות יבום דהיינו ביאה ראשונה,,#N/A,,
,yevamot,8,46,מה,9,22,בעל.,"חידושי הריטב""א-שבת","קיח ע""ב ד""ה אלא אימא","ובירושלמי (יבמות פ""א ה""א) תירצו חמש בעילות ממש ומשום דיבמה הואי והוה חייש דילמא בעיל לשם נוי בעלמא ודומה לו כפוגע באשת אח",,#N/A,,
23943,yevamot,8,46,מה,9,22,בעל.,"חידושי הר""ן [המיוחסים לריטב""א] - שבת",צא [קיח:],אלא אימא ה' בעילות בעלתי ושנותי בירושלמי משרשי' ליה בגוונא אחריתי דיבמתו היתה ולפיכך לא היה בא עליה אלא להוליד בנים בלבד ואמרינן נמי דדרך סדין בעל שלא ליהנות ממנה.,,1350,59,487_00250538
13436,yevamot,9,6,[דר',9,22,בעל.,הגהות מיימוניות,"הלכות איסורי ביאה פכ""א ס""ק ח","בפ""ק דיבמות ירושלמי רבי יוסי בר חלפתא ייבם אשת אחיו חמש חרישות חרש חמש נטיעות נטע ודרך מדין בעל ובגמרא דידן פרק כל כתבי אמר רבי יוסי ה' בעילות בעלתי ונטעתי ה' ארזים בישראל פריש ה' פעמים בעלתי ושניתי כדמסיק התם ע""ש ע""כ",,1250,302,311_200312
,yevamot ,9,6,[דר',9,22,בעל.,בעלי הנפש,"בעלי הנפש, שער הקדושה ד""ה ומה שהיה",ודוגמת המעשה הזה אמרו בגמ' דבני מערבא (ריש יבמות) בר' יוסי בר חלפתא שכנס יבמתו חמש בעילות בעל ודרך סדין בעל. ואותו הענין לא היה אלא כדי שלא תהא כונתו אלא לשם מצוה בלבד,,1150,,
,yevamot,9,6,[דר',9,22,בעל.,"רא""ש","נדרים כ ע""ב","מגלה טפח ומכסה טפח. כדי שתהא יראה ובושה על פניו אי נמי שלא יהנה בקירוב בשר דוגמת דרך סדין (בירושלמי בפ""ק דיבמות הלכה א)",,#N/A,,
18721,yevamot,9,6,[דר',9,44,יוסי.,"אור זרוע ח""א","ה' יבום וקדושין (תרל""ח)   פח ב ד""ה אסקינן בפ'","... ההיא דריש פ""ק דיבמות ירושלמי ר' יוסי בר חלפתא יבם את אשת אחיו חמש חרישות חרש וחמש נטיעות נטע ודרך סדין בעל אילו הן ר' ישמעאל בר' יוסי [ר' לעזר בר' יוסי ר' מנחם בר' יוסי] ר' חלפתא בר' יוסי ר' אבדימס בר' יוסי",,1215,18,161013_513
11078,yevamot,4,31,רוצה,4,40,מצוה.,פירוש לספרא,חלק א נא.,"ובירושלמי גרסי' הכי רצה לאכול אוכל רצה שלא לאכול אינו אוכל ת""ל מצות תיאכל מצוה","חילופי נוסחאות ""שלא לאכול"" במקום ""שלא יאכל""",?,10,16_80873
,yevamot,18,*,,18,*,0,"חידושי הריטב""א - יבמות ","יבמות דף כ עמוד א ד""ה מתני' כלל","דאילו צרתה מתייבמת שאין צרתה פטורה אלא מערוה וכדנפקא לן מאחות אשה דכתיב בה לצרור, וכן פירשו בירושלמי בהדיא",זיהוי מסופק. ראה הערת מהדיר מהדורת הרב קוק,#N/A,,
36591,yevamot,18,18,ואשה אל אחותה לא תקח.,21,54,להתייבם.,"שו""ת הרשב""א ח""ו (ורשא)",סימן יט,"ומיהו בירושלמי מצאתי דמפרש טעמא אחרי' לר""ע ואשה אל אחותה לא תקח לצרור אין לי אלא אחות אשתו שאר כל עריות מנין ר' זעירא בשם ר' יוסא בן חנינא ק""ו מה אחות אשתו מיוחדת ערוה שיש לה היתר אחר איסורא הרי היא אסורה להתייבם שאר כל העריות שאין להן היתר לאחר איסורן לא כ""ש מה זו ערוה פוטרת צרתה אף כל שאר העריות פוטרת צרותיהן עד כדון כר""ע פי' דבכלל זה אפי' עריות דחייבי לאוין איתנהו דאינהו נמי אין בהן היתר לאחר איסורן כר' ישמעאל תני ר' ישמעאל ק""ו מה אחות אשתו מיוחדת ערוה שחייבין על זדונה כרת ועל שנגתה חטאת הרי היא אסורה להתיבם מה נפק מביניהון אלמנה לכ""ג מאן דמר ערוה שיש לה היתר לאחר איסורא הרי היא אסורה להתיבם וזו הואיל ואין לה היתר לאחר איסורא אסורה להתיבם מאן דאמר ערוה שחייבין וכו' זו מותרת להתייבם.",,1275,3,281257_471
36590,yevamot,24,1,ר',24,27,חליצה.,"שו""ת הרשב""א ח""ו (ורשא)",סימן יט,"ובירושלמי נמי משמע הכי דכל עיקר אלמנה לכ""ג שעולה לחליצה אינו אלא משום דתופסין בה קדושין דגרסינן התם ר' בון בר חייא בעי קומי ר' זעירא אלמנה לכ""ג מהו שתהא צריכה חליצה אמר אפשר לומר קידושין תופסין בה ואת אמרת אינה צריכה חליצה",,1275,2,281256_470
4737,yevamot,18,16,אמרה,18,31,צרתה.,נימוקי יוסף - יבמות,"ד' ע""א (פ""א) פ""ב","מתני' כלל אמרו ביבמה כל שאיסורה איסור ערוה לא חולצת ולא מתיבמת. צרתה וכ""ש היא... איסור מצוה ואיסור קדושה וכו' דוקא היא אבל צרתה מתיבמת... שאין צרה פטורה אלא מערוה וכדנפקא לן בפ""ק מאחות אשה דכתיב בה לצרור וכן איתא בירושלמי להדיא.",זיהוי מסופק (כך פנצ'וק),1450,,
13507,yevamot,18,16,אמרה,18,31,צרתה.,"חידושי הרמב""ן - יבמות","עמוד ו [ג ע""ב]","לא גרסינן בברייתא, צרות צרותיהן מנין תלמוד לומד, כדכתיב בתורת כהנים במקצת נוסחי, ובירושלמי נמי  גרסינן לה אבל בגמרא דילן לא גרסינן לה. תדע דהא לקמן אפיסקא דמתני' הדר איבעיא להו בגמרא מנא הני מילי ואמר רב יהודה לצרור ורב אשי אמר סברא הוא וכו'","[פלורסהיים ג(א), ע' טו]",1250,2,706_00240388
36283,yevamot,34,16,את,34,22,פטור.,"שו""ת הרשב""א ח""א","סי' אלף קצד דף קסז ע""ב",... לותביה מדתני' בהדיא בברייתא חלץ לבעלת מאמר לא נפטרה צרתה דאלמא זיקה לאו ככניסה. דאי אמרת ככניסה אפילו חלץ לבעלת מאמר נפטרה צרתה דמשעת נפילה הויא להו ככניסה לאחיו זה שהיה בעולמו. ותרצת משום דהוה מצי לדחוייה דהיינו דוקא בחליצה דלא אלימא חליצה זקוקה לפטור את הכנוסה משום דחליצה פטור לא הוי קנין וכדאמרינן בירושלמי כלומר שמסלק זיקתו ממנה. וכיון שכן ...,,1275,186,280943_900
31147,yevamot,34,16,את,34,22,פטור.,"חי' הרשב""א - יבמות","יא ע""א, עמ' מח ד""ה עמד אחד מן",[... לפי שחליצה אינה קנין אלא פטור כדאיתא בירושלמי],"שם: 'א""ל את סבור חליצה קנין אינה אלא פטור'",1275,2,446_00271212
31167,yevamot,34,16,את,34,22,פטור.,"חי' הרשב""א - יבמות","יט ע""ב, עמ' קג, ד""ה: האי בבא דסיפא",[וכדאמרינן בירושלמי] מה אתה סבור חליצה קנין אינה אלא פטור,,1275,9,454_00271220
,yevamot,34,16,את,34,22,פטור.,בית הבחירה,"יבמות דף יא עמוד א ד""ה רבינא סבר","שהחליצה אינה קנין שנאמר שבהיתר מצאה שאינה אלא פטור וכן שנאוה בתלמוד המערב ירוש' פ""א ה""א",,1375,,
17232,yevamot,34,16,את,34,22,פטור.,בית הבחירה,"יבמות, עמ' 84",וכמו שאמרו בתלמוד המערב מה את סבור חליצה קנין אינה אלא פטור ואם אין זיקה אין חליצה,,1375,9,809_210516
,yevamot,34,16,את,34,22,פטור.,"חידושי הריטב""א-יבמות","יבמות דף יט עמוד א ד""ה תניא כוותיה","כי החליצה פטור הוא ולא קנין וכדאמרי' בירושלמי מה את סבור חליצה קנין או אינה אלא פטור ולא קנין כלומר שמסלק זיקתו ממנה, אבל אם בא על בעלת מאמר נפטרה צרתה",,1300,,
7147,yevamot,34,16,את,34,22,פטור.,"חידושי הריטב""א-יבמות","יט, א (תכז)",וכדאמרי' בירושלמי מה את סבור חליצה קנין או אינה אלא פטור ולא קנין. ,"יבמות ו, ע""א (פ""ד ה""ט), ה ע""ג (פ""א ה""א).",1300,,
14218,yevamot,46,1,אמ',47,25,אביו.,העיטור,"פ'.ד'. ויניציאה   ח""ב, ל""ח ע""א טור א' (מ""ד)",ירושלמי נאמר כאן ישיבה ונאמ' להלן וירשתם אותה וישבתם בה מה ישיבה האמורה כאן ישיבה שיש עמה ירושה אף כאן ישיבה שיש עמה ירושה ורבי אבין ורבי ביסנא ישבו את שישיבתן בבית אחד יצאו אחין מן האם זה הולך אצל אביו וזה הולך אצל אביו.,,1150,334,150667_334
